,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind_Speed
0,namibe,0,AO,1621115518,57,23.77,-15.1961,12.1522,1.08
1,chuy,100,UY,1621115518,72,12.41,-33.6971,-53.4616,1.6
2,avarua,40,CK,1621115310,74,27.0,-21.2078,-159.775,5.66
3,darhan,10,MN,1621115519,49,8.63,49.4867,105.9228,1.64
4,albany,1,US,1621115474,23,23.0,42.6001,-73.9662,4.12
5,aklavik,40,CA,1621115519,57,8.0,68.2191,-135.0107,5.66
6,punta arenas,90,CL,1621115519,93,8.0,-53.15,-70.9167,4.12
7,dikson,100,RU,1621115520,73,-5.07,73.5069,80.5464,5.62
8,vaini,40,TO,1621115520,89,26.0,-21.2,-175.2,4.12
9,ushuaia,20,AR,1621115475,65,7.0,-54.8,-68.3,2.57
10,lebu,0,CL,1621115520,82,12.17,-37.6167,-73.65,4.75
11,robe,96,AU,1621115521,66,14.28,-37.1833,139.75,7.44
12,katsuura,85,JP,1621115243,78,20.0,35.1333,140.3,5.9
13,byron bay,2,AU,1621115521,62,11.67,-28.65,153.6167,3.6
14,rocha,100,UY,1621115521,77,10.84,-34.4833,-54.3333,1.47
15,talnakh,97,RU,1621115522,96,-10.76,69.4865,88.3972,1.36
16,nalut,4,LY,1621115522,32,23.65,30.3333,10.85,6.54
17,necochea,80,AR,1621115522,82,14.44,-38.5473,-58.7368,1.98
18,sioux lookout,75,CA,1621115523,37,19.0,50.1001,-91.917,2.57
19,khatanga,78,RU,1621115523,96,-11.68,71.9667,102.5,2.97
20,andenes,90,NO,1621115523,81,6.0,69.3143,16.1194,10.29
21,poum,82,NC,1621115524,77,25.58,-20.2333,164.0167,5.11
22,faanui,100,PF,1621115524,74,27.13,-16.4833,-151.75,7.72
23,dunedin,90,NZ,1621115524,75,10.56,-45.8742,170.5036,4.02
24,eydhafushi,97,MV,1621115525,76,29.01,5.1033,73.0708,11.14
25,kapaa,20,US,1621115331,65,26.0,22.0752,-159.319,8.23
26,kodiak,90,US,1621115525,76,8.0,57.79,-152.4072,4.12
27,zhanjiang,9,CN,1621115526,84,27.34,21.2815,110.3427,4.99
28,flinders,7,AU,1621115526,60,10.0,-34.5833,150.8552,1.34
29,upernavik,100,GL,1621115466,76,1.05,72.7868,-56.1549,2.1
30,jamestown,75,US,1621115420,27,18.0,42.097,-79.2353,3.6
31,vilshofen,100,DE,1621115526,89,10.56,48.6333,13.1833,4.47
32,tyubuk,64,RU,1621115527,68,17.21,56.0552,60.9405,2.44
33,kosh-agach,8,RU,1621115527,65,5.14,50.0,88.6667,1.04
34,tamandare,25,BR,1621115527,78,24.71,-8.7597,-35.1047,4.01
35,hobart,75,AU,1621115246,66,10.0,-42.8794,147.3294,4.12
36,colac,97,AU,1621115528,1,8.89,-38.3333,143.5833,3.58
37,port alfred,92,ZA,1621115528,83,17.73,-33.5906,26.891,4.23
38,busselton,98,AU,1621115528,71,16.11,-33.65,115.3333,2.24
39,camacha,75,PT,1621115529,72,19.0,33.0833,-16.3333,5.66
40,rikitea,85,PF,1621115529,59,23.87,-23.1203,-134.9692,6.7
41,oakdale,20,US,1621115529,38,23.0,44.963,-92.9649,2.06
42,cilegon,20,ID,1621115530,83,27.0,-6.0174,106.0538,1.54
43,san jose de guanipa,99,VE,1621115530,44,30.47,8.8872,-64.1651,5.54
44,sarahan,49,IN,1621115530,62,10.31,31.5167,77.8,2.89
45,bluff,51,NZ,1621115531,94,5.0,-46.6,168.3333,1.34
46,saint-augustin,99,CA,1621115531,68,6.89,51.226,-58.6502,5.64
47,kizner,72,RU,1621115531,66,17.05,56.2749,51.508,2.15
48,new norfolk,100,AU,1621115532,86,10.0,-42.7826,147.0587,0.45
49,kichmengskiy gorodok,99,RU,1621115532,93,13.85,59.9816,45.7854,4.29
50,maumere,28,ID,1621115532,78,25.6,-8.6199,122.2111,2.98
51,almaznyy,0,RU,1621115533,67,17.0,48.0448,40.045,4.0
52,broome,75,US,1621115533,30,20.0,42.2506,-75.833,3.6
53,ilulissat,20,GL,1621115533,75,2.0,69.2167,-51.1,3.6
54,nikolskoye,40,RU,1621115480,88,13.89,59.7035,30.7861,2.0
55,ojinaga,40,MX,1621115534,22,34.0,29.5667,-104.4167,5.14
56,muhos,79,FI,1621115534,94,12.0,64.808,25.9931,3.6
